[2024-03-29 17:49:32.649] [PSS] [debug] [46280|15220]streaming_driver_interface_impl.cpp:25 StreamingDriverInterfaceImpl: callback= 0x2393b673ff0, this= 0x2383661fc60
[2024-03-29 17:49:32.650] [PSS] [debug] [46280|15220]streaming_driver_interface_impl.cpp:95 SetTrackingOrigin: tracking origin= Undefined, this= 0x2383661fc60
[2024-03-29 17:49:32.650] [PSS] [debug] [46280|15220]streaming_driver_interface_impl.cpp:39 ConnectToService: try to connect to service, this= 0x2383661fc60
[2024-03-29 17:49:32.650] [PSS] [error] [46280|46408]streaming_driver_interface_impl.cpp:572 InvokeSetTrackingOrigin: "invalid media session", !media_session_, this= 0x2383661fc60
[2024-03-29 17:49:32.650] [PSS] [debug] [46280|46408]streaming_driver_interface_impl.cpp:469 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x2383661fc60
[2024-03-29 17:49:32.651] [PSS] [debug] [46280|46408]transport_client_tcp2.cpp:34 Start: buffer size(send\recv): 1048576\1048576, this= 0x2390c97af90
[2024-03-29 17:49:32.651] [PSS] [info] [46280|46408]transport_client_tcp2.cpp:58 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x2390c97af90
[2024-03-29 17:49:32.651] [PSS] [debug] [46280|46408]transport_data_receiver_raw.cpp:34 UpdateConfig: enable_channel= 1, enable_packet= 1, sink= 0x2390c97afa0, this= 0x2393b79bc10
[2024-03-29 17:49:34.659] [PSS] [error] [46280|12604]transport_client_tcp2.cpp:106 HandleConnect: connected error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение, this= 0x2390c97af90
[2024-03-29 17:49:34.659] [PSS] [debug] [46280|12604]streaming_driver_interface_impl.cpp:248 NotifyConnectResult: network connect to service result= 10061, this= 0x2383661fc60
[2024-03-29 17:49:34.659] [PSS] [error] [46280|12604]streaming_driver_interface_impl.cpp:250 NotifyConnectResult: connect to service network error= 10061, this= 0x2383661fc60
[2024-03-29 23:21:45.788] [PSS] [info] ***********  Log Begin **********
[2024-03-29 23:21:45.788] [PSS] [info] process id= 5304
[2024-03-29 23:21:45.788] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:25 StreamingDriverInterfaceImpl: callback= 0x1aa9a2010a0, this= 0x1aa14292030
[2024-03-29 23:21:45.788] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:95 SetTrackingOrigin: tracking origin= Undefined, this= 0x1aa14292030
[2024-03-29 23:21:45.788] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:39 ConnectToService: try to connect to service, this= 0x1aa14292030
[2024-03-29 23:21:45.788] [PSS] [error] [5304|16024]streaming_driver_interface_impl.cpp:572 InvokeSetTrackingOrigin: "invalid media session", !media_session_, this= 0x1aa14292030
[2024-03-29 23:21:45.788] [PSS] [debug] [5304|16024]streaming_driver_interface_impl.cpp:469 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x1aa14292030
[2024-03-29 23:21:45.789] [PSS] [debug] [5304|16024]transport_client_tcp2.cpp:34 Start: buffer size(send\recv): 1048576\1048576, this= 0x1ab401a14c0
[2024-03-29 23:21:45.789] [PSS] [info] [5304|16024]transport_client_tcp2.cpp:58 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x1ab401a14c0
[2024-03-29 23:21:45.789] [PSS] [debug] [5304|16024]transport_data_receiver_raw.cpp:34 UpdateConfig: enable_channel= 1, enable_packet= 1, sink= 0x1ab401a14d0, this= 0x1aa9a2e6d50
[2024-03-29 23:21:47.795] [PSS] [error] [5304|18012]transport_client_tcp2.cpp:106 HandleConnect: connected error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение, this= 0x1ab401a14c0
[2024-03-29 23:21:47.795] [PSS] [debug] [5304|18012]streaming_driver_interface_impl.cpp:248 NotifyConnectResult: network connect to service result= 10061, this= 0x1aa14292030
[2024-03-29 23:21:47.795] [PSS] [error] [5304|18012]streaming_driver_interface_impl.cpp:250 NotifyConnectResult: connect to service network error= 10061, this= 0x1aa14292030
[2024-03-29 23:25:28.277] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:25 StreamingDriverInterfaceImpl: callback= 0x1aa1a895e30, this= 0x1abcd0c1520
[2024-03-29 23:25:28.278] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:30 ~StreamingDriverInterfaceImpl: called, this= 0x1aa14292030
[2024-03-29 23:25:28.279] [PSS] [debug] [5304|15032]transport_client_tcp2.cpp:71 Stop: called, this= 0x1ab401a14c0
[2024-03-29 23:25:28.281] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:95 SetTrackingOrigin: tracking origin= FloorLevel, this= 0x1abcd0c1520
[2024-03-29 23:25:28.281] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:39 ConnectToService: try to connect to service, this= 0x1abcd0c1520
[2024-03-29 23:25:28.282] [PSS] [error] [5304|16172]streaming_driver_interface_impl.cpp:572 InvokeSetTrackingOrigin: "invalid media session", !media_session_, this= 0x1abcd0c1520
[2024-03-29 23:25:28.282] [PSS] [debug] [5304|16172]streaming_driver_interface_impl.cpp:469 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x1abcd0c1520
[2024-03-29 23:25:28.283] [PSS] [debug] [5304|16172]transport_client_tcp2.cpp:34 Start: buffer size(send\recv): 1048576\1048576, this= 0x1ab4019e5c0
[2024-03-29 23:25:28.283] [PSS] [info] [5304|16172]transport_client_tcp2.cpp:58 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x1ab4019e5c0
[2024-03-29 23:25:28.283] [PSS] [debug] [5304|16172]transport_data_receiver_raw.cpp:34 UpdateConfig: enable_channel= 1, enable_packet= 1, sink= 0x1ab4019e5d0, this= 0x1aa1377e490
